Year,m,d,Time,Time zone,Air temperature (degC)
2020,9,10,00:00,UTC,13
2020,9,10,01:00,UTC,13.6
2020,9,10,02:00,UTC,14.3
2020,9,10,03:00,UTC,13.6
2020,9,10,04:00,UTC,12.5
2020,9,10,05:00,UTC,11.7
2020,9,10,06:00,UTC,11.2
2020,9,10,07:00,UTC,10.9
2020,9,10,08:00,UTC,10.9
2020,9,10,09:00,UTC,10.2
2020,9,10,10:00,UTC,10.3
2020,9,10,11:00,UTC,9.2
2020,9,10,12:00,UTC,9.4
2020,9,10,13:00,UTC,10.1
2020,9,10,14:00,UTC,8.9
2020,9,10,15:00,UTC,9.4
2020,9,10,16:00,UTC,8.5
2020,9,10,17:00,UTC,8.9
2020,9,10,18:00,UTC,9.5
2020,9,10,19:00,UTC,9.2
2020,9,10,20:00,UTC,9.8
2020,9,10,21:00,UTC,9.7
2020,9,10,22:00,UTC,9.1
2020,9,10,23:00,UTC,9
2020,9,11,00:00,UTC,8.6
