Year,m,d,Time,Time zone,Air temperature (degC)
2020,8,1,00:00,UTC,15
2020,8,2,00:00,UTC,14
2020,8,3,00:00,UTC,16
2020,8,4,00:00,UTC,15
2020,8,5,00:00,UTC,16.9
2020,8,6,00:00,UTC,16.3
2020,8,7,00:00,UTC,18.8
2020,8,8,00:00,UTC,20.8
2020,8,9,00:00,UTC,22.3
2020,8,10,00:00,UTC,17.4
2020,8,11,00:00,UTC,14.5
2020,8,12,00:00,UTC,14
2020,8,13,00:00,UTC,13.7
2020,8,14,00:00,UTC,14.3
2020,8,15,00:00,UTC,18.4
2020,8,16,00:00,UTC,18.4
2020,8,17,00:00,UTC,15.1
2020,8,18,00:00,UTC,14.7
2020,8,19,00:00,UTC,16.5
2020,8,20,00:00,UTC,17.1
2020,8,21,00:00,UTC,18.3
2020,8,22,00:00,UTC,17.5
2020,8,23,00:00,UTC,17.9
2020,8,24,00:00,UTC,15.7
2020,8,25,00:00,UTC,14.7
2020,8,26,00:00,UTC,13.7
2020,8,27,00:00,UTC,12.4
2020,8,28,00:00,UTC,13
2020,8,29,00:00,UTC,14.1
2020,8,30,00:00,UTC,12.4
2020,8,31,00:00,UTC,11.8
