Year,m,d,Time,Time zone,Air temperature (degC)
2018,9,10,00:00,UTC,13.2
2018,9,11,00:00,UTC,13.2
2018,9,12,00:00,UTC,13.6
2018,9,13,00:00,UTC,11.7
2018,9,14,00:00,UTC,11.2
2018,9,15,00:00,UTC,12.3
2018,9,16,00:00,UTC,11
2018,9,17,00:00,UTC,9.5
2018,9,18,00:00,UTC,11.6
2018,9,19,00:00,UTC,15.6
2018,9,20,00:00,UTC,15.1
2018,9,21,00:00,UTC,14.8
2018,9,22,00:00,UTC,14
2018,9,23,00:00,UTC,9.6
2018,9,24,00:00,UTC,6.9
2018,9,25,00:00,UTC,6
2018,9,26,00:00,UTC,7.2
2018,9,27,00:00,UTC,7.4
2018,9,28,00:00,UTC,5.5
2018,9,29,00:00,UTC,4
2018,9,30,00:00,UTC,8.2
2018,10,1,00:00,UTC,8.4
2018,10,2,00:00,UTC,6.7
2018,10,3,00:00,UTC,5.3
2018,10,4,00:00,UTC,2.1
2018,10,5,00:00,UTC,3.2
2018,10,6,00:00,UTC,6.6
2018,10,7,00:00,UTC,3.8
2018,10,8,00:00,UTC,3.2
2018,10,9,00:00,UTC,10.5
2018,10,10,00:00,UTC,10.7
2018,10,11,00:00,UTC,8.2
2018,10,12,00:00,UTC,10
2018,10,13,00:00,UTC,11.1
2018,10,14,00:00,UTC,12.9
2018,10,15,00:00,UTC,11.4
2018,10,16,00:00,UTC,9.6
2018,10,17,00:00,UTC,8.5
2018,10,18,00:00,UTC,10.2
2018,10,19,00:00,UTC,5.1
2018,10,20,00:00,UTC,3.9
2018,10,21,00:00,UTC,6.3
2018,10,22,00:00,UTC,7
2018,10,23,00:00,UTC,2.5
2018,10,24,00:00,UTC,3.7
2018,10,25,00:00,UTC,-0.2
2018,10,26,00:00,UTC,1.1
2018,10,27,00:00,UTC,0.5
2018,10,28,00:00,UTC,-0.4
2018,10,29,00:00,UTC,-2.9
2018,10,30,00:00,UTC,-0.6
2018,10,31,00:00,UTC,3.7
2018,11,1,00:00,UTC,7.2
2018,11,2,00:00,UTC,5.4
2018,11,3,00:00,UTC,7.5
2018,11,4,00:00,UTC,2.5
2018,11,5,00:00,UTC,5.1
2018,11,6,00:00,UTC,4.1
2018,11,7,00:00,UTC,6.6
2018,11,8,00:00,UTC,6.2
2018,11,9,00:00,UTC,3.6
2018,11,10,00:00,UTC,2.6
2018,11,11,00:00,UTC,2.7
2018,11,12,00:00,UTC,3
2018,11,13,00:00,UTC,4.2
2018,11,14,00:00,UTC,4.8
2018,11,15,00:00,UTC,5.3
2018,11,16,00:00,UTC,7.3
2018,11,17,00:00,UTC,5.8
2018,11,18,00:00,UTC,3.1
2018,11,19,00:00,UTC,-1.7
2018,11,20,00:00,UTC,-2.6
2018,11,21,00:00,UTC,-1.7
2018,11,22,00:00,UTC,-0.3
2018,11,23,00:00,UTC,-1.5
2018,11,24,00:00,UTC,-1.1
2018,11,25,00:00,UTC,-3.1
2018,11,26,00:00,UTC,-4.3
2018,11,27,00:00,UTC,-4.6
2018,11,28,00:00,UTC,-7.6
2018,11,29,00:00,UTC,-2.9
2018,11,30,00:00,UTC,-1.8
2018,12,1,00:00,UTC,-2.7
2018,12,2,00:00,UTC,-5.9
2018,12,3,00:00,UTC,-6.2
2018,12,4,00:00,UTC,-0.9
2018,12,5,00:00,UTC,1.7
2018,12,6,00:00,UTC,-1.7
2018,12,7,00:00,UTC,-1.8
2018,12,8,00:00,UTC,-1.8
2018,12,9,00:00,UTC,-0.3
2018,12,10,00:00,UTC,-0.5
2018,12,11,00:00,UTC,-1.6
2018,12,12,00:00,UTC,-2.3
2018,12,13,00:00,UTC,-3.7
2018,12,14,00:00,UTC,-5.6
2018,12,15,00:00,UTC,-8.3
2018,12,16,00:00,UTC,-7.2
2018,12,17,00:00,UTC,-7.2
2018,12,18,00:00,UTC,-5
2018,12,19,00:00,UTC,-6.5
2018,12,20,00:00,UTC,-7.9
2018,12,21,00:00,UTC,-9.8
2018,12,22,00:00,UTC,-9.8
2018,12,23,00:00,UTC,-9.4
2018,12,24,00:00,UTC,-10.1
2018,12,25,00:00,UTC,-3.4
2018,12,26,00:00,UTC,-2
2018,12,27,00:00,UTC,-5.2
2018,12,28,00:00,UTC,-2.8
2018,12,29,00:00,UTC,-1.8
2018,12,30,00:00,UTC,-1
2018,12,31,00:00,UTC,-4.8
2019,1,1,00:00,UTC,-0.1
2019,1,2,00:00,UTC,-4
2019,1,3,00:00,UTC,-13.7
2019,1,4,00:00,UTC,-8.4
2019,1,5,00:00,UTC,-8
2019,1,6,00:00,UTC,-7.1
2019,1,7,00:00,UTC,-0.5
2019,1,8,00:00,UTC,-2.4
2019,1,9,00:00,UTC,-4.3
2019,1,10,00:00,UTC,-9.3
2019,1,11,00:00,UTC,-1.2
2019,1,12,00:00,UTC,-3.7
2019,1,13,00:00,UTC,-8.5
2019,1,14,00:00,UTC,-2.3
2019,1,15,00:00,UTC,-1.6
2019,1,16,00:00,UTC,-7.3
2019,1,17,00:00,UTC,-7.9
2019,1,18,00:00,UTC,-13.3
2019,1,19,00:00,UTC,-13.8
2019,1,20,00:00,UTC,-13
2019,1,21,00:00,UTC,-19.2
2019,1,22,00:00,UTC,-15.1
2019,1,23,00:00,UTC,-6.5
2019,1,24,00:00,UTC,-17.3
2019,1,25,00:00,UTC,-13.4
2019,1,26,00:00,UTC,-11.2
2019,1,27,00:00,UTC,-17
2019,1,28,00:00,UTC,-18.4
2019,1,29,00:00,UTC,-10
2019,1,30,00:00,UTC,-2.7
2019,1,31,00:00,UTC,-2.9
2019,2,1,00:00,UTC,-8.5
2019,2,2,00:00,UTC,-6.9
2019,2,3,00:00,UTC,-4.7
2019,2,4,00:00,UTC,-4.2
2019,2,5,00:00,UTC,-3.8
2019,2,6,00:00,UTC,-6.6
2019,2,7,00:00,UTC,-4.8
2019,2,8,00:00,UTC,-0.1
2019,2,9,00:00,UTC,0.9
2019,2,10,00:00,UTC,1.1
2019,2,11,00:00,UTC,0.4
2019,2,12,00:00,UTC,-3
2019,2,13,00:00,UTC,-5.8
2019,2,14,00:00,UTC,0.4
2019,2,15,00:00,UTC,3.6
2019,2,16,00:00,UTC,1.5
2019,2,17,00:00,UTC,0.2
2019,2,18,00:00,UTC,-4
2019,2,19,00:00,UTC,0.9
2019,2,20,00:00,UTC,-1.7
2019,2,21,00:00,UTC,-8.2
2019,2,22,00:00,UTC,-9.4
2019,2,23,00:00,UTC,-0.6
2019,2,24,00:00,UTC,2.7
2019,2,25,00:00,UTC,3.9
2019,2,26,00:00,UTC,0.4
2019,2,27,00:00,UTC,1
2019,2,28,00:00,UTC,-0.7
2019,3,1,00:00,UTC,-7.8
2019,3,2,00:00,UTC,-3.8
2019,3,3,00:00,UTC,-8.2
2019,3,4,00:00,UTC,-5.7
2019,3,5,00:00,UTC,-7
2019,3,6,00:00,UTC,-9.4
2019,3,7,00:00,UTC,-2.3
2019,3,8,00:00,UTC,2.1
2019,3,9,00:00,UTC,-0.7
2019,3,10,00:00,UTC,-2.4
2019,3,11,00:00,UTC,-7.3
2019,3,12,00:00,UTC,-5.9
2019,3,13,00:00,UTC,-6.2
2019,3,14,00:00,UTC,-3.1
2019,3,15,00:00,UTC,0.3
2019,3,16,00:00,UTC,0.6
2019,3,17,00:00,UTC,0.6
2019,3,18,00:00,UTC,1.4
2019,3,19,00:00,UTC,1
2019,3,20,00:00,UTC,0.5
2019,3,21,00:00,UTC,2.2
2019,3,22,00:00,UTC,1.3
2019,3,23,00:00,UTC,0.9
2019,3,24,00:00,UTC,1.5
2019,3,25,00:00,UTC,-0.4
2019,3,26,00:00,UTC,-2.3
